time,platform_code,platform_type,country
2021-07-06 00:42:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-06 02:18:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-06 04:07:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-06 05:42:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-06 07:33:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-06 09:03:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-06 10:49:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-06 12:22:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-06 14:23:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-06 16:03:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-06 18:07:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-06 19:39:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-06 21:34:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-06 23:13:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-07 00:00:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-07 01:01:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-07 02:50:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-07 04:41:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-07 06:18:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-07 08:08:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-07 09:31:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-07 11:06:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-07 12:09:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-07 13:24:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-07 14:21:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-07 15:41:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-07 17:06:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-07 18:42:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-07 20:07:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-07 21:32:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-07 22:59:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-08 00:00:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-08 00:48:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-08 02:14:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-08 04:07:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-08 05:34:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-08 07:28:00+00:00,4802960,GLIDERS,UNITED STATES
2021-07-08 10:44:00+00:00,4802960,GLIDERS,UNITED STATES
